#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_crusader;the Crusader;le Croisé;der Kreuzfahrer;;El Paladín;;;;;;;;;x
nick_the_trembling;the Trembling;le Tremblant;das Zitternd;;el Temblor;;;;;;;;;x
nick_the_deacon;the Deacon;le Diacre;der Diakon;;el Diácono;;;;;;;;;x
nick_the_catholic;the Catholic;le Catholique;der Katholische;;el Católico;;;;;;;;x
nick_the_kid;the Kid;l'Enfant;den Kid;;el Niño;;;;;;;;;x
nick_the_hairy;the Hairy;le Chevelu;der Haarige;;el Velloso;;;;;;;;;x
nick_the_fratricide;the Fratricide;le Fratricide;der Brudermord;;el Fraticidio;;;;;;;;;x
nick_the_lackland;The Lackland;le Sans-Terre;der Ohneland;;el Sin Tierra;;;;;;;;;x
nick_the_green;the Green;le Vert;die Grüne;;el Verde;;;;;;;;;x
nick_the_brown;the Brown;le Brun;der Braun;;el Marrón;;;;;;;;;x
nick_the_white;the White;le Blanc;der Weiß;;el Blanco;;;;;;;;;x
nick_the_bearded;the Bearded;le Barbu;der Bärtige;;el Barbudo;;;;;;;;;x
nick_the_red;the Red;le Rouges;der Rote;;el Rojo;;;;;;;;;x
nick_the_butcher;the Butcher;le Boucher;der Metzger;;el Carnicero;;;;;;;;;x
nick_the_bulgar_slayer;the Bulgar-Slayer;le Bulgare-tueur;der Bulgar-Bezwinger;;el Bulgar-asesino;;;;;;;;;x
nick_the_ill_advised;the Ill-advised;le Malavisé;der Schlecht-Beraten;;la Poco-Aconsejable;;;;;;;;;x
nick_forkbeard;Forkbeard;Mostelle de Roche;Gabelbart;;Brótola de Roca;;;;;;;;;x
nick_skotkonung;Skötkonung;Skötkonung;Skötkonung;;Skötkonung;;;;;;;;;x
nick_almanzor;al-Mansur bi-llah;al-Mansur bi-llah;al-Mansur bi-llah;;al-Mansur bi-llah;;;;;;;;;x
