#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
AI_EVENT;AI_EVENT;AI_EVENT;AI_EVENT;;AI_EVENT;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDEMANDNO;Refuse this outrageous demand;Refuser cette demande outrageuse;Refuse this outrageous demand;;Refuse this outrageous demand;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDEMANDYES;Accept their rightful request;Accepter leur demande légitime;Accept their rightful request;;Accept their rightful request;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTULTIMATUMNO;I will not be blackmailed;Je ne vais point céder au chantage;I will not be blackmailed;;I will not be blackmailed;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTULTIMATUMREJECTED;Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. I'd rather die defending what is rightfully mine!\n\nSigned,\n[From.GetTitledName];Votre tentative de chantage honteulx n'a point réussi. Peu importe combien d'asmes corrompues vous ont aidé à réaliser votre stratagesme, je ne céderoi point sans combattre. Je préfère mourir en défendant ce qui est légitimement mien! \n\nSigné,\n[From.GetTitledName];Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. I'd rather die defending what is rightfully mine!\n\nSigned,\n[From.GetTitledName];;Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. I'd rather die defending what is rightfully mine!\n\nSigned,\n[From.GetTitledName];;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTULTIMATUMREJECTEDOPTA;Then it is war!;Alors c'est la guerre !;Then it is war!;;Then it is war!;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTULTIMATUMYES;I guess I have no choice...;Je suppose que je n'ai point le chois...;I guess I have no choice...;;I guess I have no choice...;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVERMIND;On second thought...;En y réfléchissant bien...;On second thought...;;On second thought...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEDATEAR;Shed a tear for gallant Sir [From.GetFirstName].;Verser une larme pour le galant Sire [From.GetFirstName].;Shed a tear for gallant Sir [From.GetFirstName].;;Shed a tear for gallant Sir [From.GetFirstName].;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOARMS;To arms!!;Aulx armes !;To arms!!;;To arms!!;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA450;I don't mind.;Ça m'est égal.;Ich habe nichts dagegen.;;Me da lo mismo.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB450;Avoid [Root.Liege.GetHerHim];Eviter [Root.Liege.GetHerHim];Vermeide [Root.Liege.GetHerHim];;Avoid [Root.Liege.GetHerHim];;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC451;[From.GetSheHeCap]'s not my type;[From.GetSheHeCap] n'est point mon genre;[From.GetSheHeCap] ist nicht mein Typ;;[From.GetSheHeCap]'s not my type;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA452;What took [From.GetHerHim] so long?;Pourquoi a-t-[From.GetHerHim] tant tardé ?;Warum hat [From.GetHerHim] so lange gebraucht?;;¿Por qué ha tardado tanto?;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB452;Dissuade [From.GetHerHim].;Dissuadez-le.;Es ihm ausreden;;Disuádele;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTD452;Kick [From.GetHerHim] out and tell everyone what happened!;Refuser et dire à tous ce qui s'est passé!;Verweigern und berichten!;;Negarse y decir a todos lo que pasó!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;Je me suis introduit dans la chambre de [From.GetFirstName] et l'ai honorée !;Ich ging zu [From.GetFirstName]'s Kammer und gab [From.GetHerHim] eine gute Nacht!;;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC454;[From.GetFirstName] has spurned my subtle advances.;[From.GetFirstName] a repoussé mes subtiles avances.;[From.GetFirstName] hat meine subtilen Annäherungen verschmäht.;;[From.GetFirstName] ha rechazado mis sutiles insinuaciones.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA454;How could [From.GetSheHe] resist my charms?;Comment pourroit-[From.GetSheHe] resister à mes charmes ?;Wie konnte [From.GetSheHe] meinen Reizen widerstehen?;;How could [From.GetSheHe] resist my charms?;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC455;[From.GetFirstName] was furious and made a public spectacle of the incident!;[From.GetFirstName] a crié et fait des histoires devant mes gardes !;[From.GetFirstName] kreischte und machte vor meinen eigenen Wachen eine Szene!;;¡[From.GetFirstName] gritó y armó un escándalo ante mis propios guardias!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA455;Oops. How embarrassing!;Comment embarrassant!;Wie peinlich!;;¡Qué vergüenza!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC615;Peasant rebels have taken control of one of our holdings in [From.GetName] and declared independence!;Les croquants ont pris le controsle d'un de vos fiefs en [From.GetName] et ont déclaré leur indépendance !;Bauerrebellen haben die Kontrolle über eines unserer Beteiligungen in [From.GetName] genommen und Unabhängigkeit erklärt!;;Peasant rebels have taken control of one of our holdings in [From.GetName] and declared independence!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC3013;Praise the man for a fantastic feast!;Louez votre hoste pour une feste fantastique !;Praise the man for a fantastic feast!;;Praise the man for a fantastic feast!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTD3013;I don't really need to bloat his ego more.;Je n'ai point vraiment besoin de faire enfler son égo.;I don't really need to bloat his ego more.;;I don't really need to bloat his ego more.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC3026;Not much left to do but enjoy it.;Il n'y a plus grand chose à faire à part en profiter.;Not much left to do but enjoy it.;;Not much left to do but enjoy it.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC3084;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;Faire preuve de charité signifie aussi de prendre sur soi. Il y a des gens qui m'abhorrent personnellement et souhaitent ma chute, mais je leur pardonne.;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTG4155;I want to hear 'Steppenwolf'!;Je veulx écouter 'Steppenwolf' !;Ich will 'Steppenwolf' hören!;;I want to hear 'Steppenwolf'!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4300;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;La foire d'été de cette année a été un grand succès! Les marchands et commerçants venus à [Root.Capital.GetName] ont revitalisé l'économie de la province.;Das diesjährige Sommerfest war ein voller Erfolg! Die Kaufleute und Händler zu [Root.Capital.GetName] haben die Wirtschaft der Provinz revitalisiert.;;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6083;Perhaps it is a miracle - my old injury is beginning to feel a little better.;Peult-estre que c'est un miracle - mon ancienne blessure commence à aller un peu mieulx.;Vielleicht ist es ein Wunder - meine alte Verletzung beginnt zu heilen und ich fühle mich ein wenig besser.;;Tal vez es un milagro - de mi vieja lesión está empezando a sentir un poco mejor.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
