#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
abdicated;Abdicated;;;;;;;;;;;;;x
abdicated_desc;This character voluntarily abdicated their titles to their heir.;;;;;;;;;;;;;x
abdicated_for_me;Abdicated For Me;;;;;;;;;;;;;x
absentminded;Absent-Minded;;;;;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;;;;;;;;;;;;;x
action_organize_spies_desc;Have your [GetSpymasterName] focus [Root.job_spymaster.GetHerHis] efforts on expanding the [Root.PrimaryTitle.GetAdjective] spy network. Spy networks can be used to assist and defend against plots, as well as to assist in the Spy On action, but beware: your [GetSpymasterName] will build up [Root.job_spymaster.GetHerHis] own personal network as [Root.job_spymaster.GetSheHe] builds up yours. Do you trust [Root.job_spymaster.GetHerHim] enough to make [Root.job_spymaster.GetHerHim] stronger?\n\nFactors contributing to success:\n§Y*§! Your [GetSpymasterName]'s Intrigue\n§Y*§! Your Intrigue\n§Y*§! Your [GetSpymasterName]'s traits\n§Y*§! Tribal and Nomadic rulers have a more difficult time with this\n§Y*§! The higher the Spy Network raises, the more difficult it will be to raise, and the higher the chance of a setback\n;;;;;;;;;;;;;x
action_settle_tribe;Settle Province;;;;;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to bring more of your people into the province to settle its lands, increasing the chance its culture will change to §Y[Culture.GetName]§!, if it is not already, or that a city will be built there if it is. (NOTE: The latter is only available to Tribal rulers.);;;;;;;;;;;;;x
action_uncover_plots_desc;Dispatch your [GetSpymasterName] to undermine vassals with their fellow faction members or discourage them from being part of factions altogether. This will also increase the likelihood of uncovering the plots of local nobles.;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YMajor Trade Route§!\nA Major Trade Route brings trade through this province.\n;;;;;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nThis Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;;;;;;;;;;;;;x
adopt_celtic_rites;You re-institute old pagan traditions;;;;;;;;;;;;;x
adopt_druidism;You become a Celtic pagan;;;;;;;;;;;;;x
adopted;Adopted;;;;;;;;;;;;;x
adopted_desc;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;;;;;;;;;;;;;x
aghlabid_867;Aghlabid Conquest of Sicily;;;;;;;;;;;;;x
aghlabid_867_desc;Aghlabid Conquest of Sicily;;;;;;;;;;;;;x
agile;Agile;;;;;;;;;;;;;x
